gene_id,control_1,control_2,control_3,control_4,treated_1,treated_2,treated_3,treated_4
IL6,18,24,20,22,410,380,450,420
CXCL8,28,34,31,30,520,480,550,505
STAT1,54,62,58,60,330,295,345,315
IRF1,44,49,46,51,250,225,270,240
JUN,95,108,101,99,310,285,325,300
FOS,72,81,77,75,245,220,260,235
COL1A1,620,575,640,600,74,82,69,78
COL3A1,420,390,445,410,58,65,54,61
MKI67,285,310,295,300,42,48,39,45
TOP2A,240,265,252,248,35,40,32,38
GAPDH,980,1020,995,1005,1015,990,1030,1000
ACTB,820,790,835,805,810,825,795,830
RPLP0,610,635,620,605,625,615,640,618
RPL13A,570,550,585,565,575,590,560,580
B2M,330,345,338,350,342,355,336,348
HPRT1,205,198,212,208,214,202,210,206
TBP,115,122,118,120,124,116,121,119
PPIA,455,470,462,448,468,452,475,460
YWHAZ,390,405,398,412,400,415,395,408
EEF1A1,760,735,775,748,770,755,740,765
RPS18,510,525,518,505,520,512,530,515
RPL32,465,450,478,460,470,482,455,475
SDHA,188,195,191,186,193,189,198,192
HMBS,132,125,138,130,136,129,134,131
UBC,540,555,548,532,552,545,560,550
PGK1,310,298,320,305,315,307,300,318
LDHA,275,288,280,270,284,278,292,282
TUBB,360,345,370,355,365,375,350,368
VIM,430,415,442,425,438,420,445,432
CALM1,250,262,255,245,260,252,265,258
NCL,198,205,201,194,207,200,210,203
RHOA,168,175,171,165,173,169,178,172
GUSB,92,98,95,90,97,94,100,96
IPO8,83,88,85,81,87,84,90,86
POLR2A,145,152,148,142,150,147,155,149
RPL37A,335,320,342,330,338,345,325,340
G6PD,225,235,230,220,232,228,238,233
TFRC,155,162,158,150,160,154,165,159
PSMB4,185,178,190,182,188,192,180,186
RAB7A,120,126,123,117,125,121,128,124
