cell_id,CD3D,CD3E,TRAC,LCK,IL7R,LTB,MALAT1,B2M,MS4A1,CD79A,CD74,HLA-DRA,CD37,CD22,CD79B,CD83,LST1,S100A8,S100A9,FCN1,CTSS,TYMP,LGALS3,SAT1,ACTB,GAPDH,RPL3,RPL5,RPL7,RPL11,RPL13,RPL18,RPL23,RPL27,RPS3,RPS5,RPS8,RPS12,RPS14,RPS18,RPS24,EEF1A1,TMSB10,FTL,FTH1,UBC,HSP90AA1,HSPA8,VIM,PFN1,CFL1,LGALS1,YWHAZ,PPIA,MT-CO1,MT-ND1,MT-CYB
demo_1_01,18,15,10,13,17,11,18,15,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,1,1,4,3,0,1,1,2,4,2,4,2,2,2,3,5,5,5,3,2,3,3,3,0,2,1,7,0,0,0,1
demo_1_02,16,15,10,7,19,10,11,14,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,4,3,2,3,3,2,1,2,2,1,1,1,1,1,1,3,3,1,1,2,6,4,4,4,2,3,3,3,2,0,0,1
demo_1_03,19,15,11,11,13,17,13,10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,3,1,2,1,2,4,3,2,5,0,0,2,2,2,3,4,1,3,6,5,2,3,2,3,5,4,3,3,4,0,1,0
demo_1_04,14,20,9,10,11,16,16,19,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,3,1,4,1,1,6,7,3,5,2,3,0,2,2,5,2,2,1,0,3,2,1,0,2,4,1,1,2,2,0,0,1,0
demo_1_05,15,9,10,10,10,15,19,11,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,1,3,1,4,4,1,4,4,3,1,2,2,2,1,3,4,4,4,5,3,2,2,2,2,2,4,4,2,2,0,0,0
demo_1_06,16,7,13,16,16,15,12,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,6,3,0,1,2,5,5,2,1,5,3,1,1,3,1,2,3,4,3,3,2,4,2,6,2,3,0,0,0
demo_1_07,15,11,16,16,17,11,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,4,3,2,1,3,3,0,2,2,5,3,5,3,3,3,2,3,2,4,2,6,3,3,4,7,2,0,0,0
demo_1_08,18,11,14,9,17,10,15,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,7,1,1,3,1,2,2,5,5,3,1,3,4,0,1,3,1,2,2,3,3,4,3,3,1,0,0,1
demo_1_09,15,12,16,20,8,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,3,7,3,1,3,4,5,2,1,1,3,1,2,1,1,0,3,3,1,1,6,1,1,2,2,2,1,0,0
demo_1_10,20,14,11,14,16,12,7,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,4,0,1,3,3,0,2,4,4,3,4,0,1,4,1,1,3,3,3,2,2,5,1,1,2,4,1,1,0,0,0
demo_1_11,14,12,13,9,18,20,14,10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,2,3,2,3,3,1,3,0,3,1,3,2,4,2,3,2,3,4,2,1,0,2,2,3,2,4,1,2,0,1,0
demo_1_12,12,19,10,15,23,12,20,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,3,2,1,2,1,3,1,7,2,1,1,5,2,2,3,2,1,3,4,0,2,1,4,3,3,3,2,3,1,0,1
