cell_id,donor,condition,synthetic_truth
demo_1_01,D1,control,T_like
demo_1_02,D2,stimulated,T_like
demo_1_03,D3,control,T_like
demo_1_04,D1,stimulated,T_like
demo_1_05,D2,control,T_like
demo_1_06,D3,stimulated,T_like
demo_1_07,D1,control,T_like
demo_1_08,D2,stimulated,T_like
demo_1_09,D3,control,T_like
demo_1_10,D1,stimulated,T_like
demo_1_11,D2,control,T_like
demo_1_12,D3,stimulated,T_like
demo_1_13,D1,control,T_like
demo_1_14,D2,stimulated,T_like
demo_1_15,D3,control,T_like
demo_1_16,D1,stimulated,T_like
demo_1_17,D2,control,T_like
demo_1_18,D3,stimulated,T_like
demo_1_19,D1,control,T_like
demo_1_20,D2,stimulated,T_like
demo_1_21,D3,control,T_like
demo_1_22,D1,stimulated,T_like
demo_1_23,D2,control,T_like
demo_1_24,D3,stimulated,T_like
demo_1_25,D1,control,T_like
demo_1_26,D2,stimulated,T_like
demo_1_27,D3,control,T_like
demo_1_28,D1,stimulated,T_like
demo_1_29,D2,control,T_like
demo_1_30,D3,stimulated,T_like
demo_2_01,D1,control,B_like
demo_2_02,D2,stimulated,B_like
demo_2_03,D3,control,B_like
demo_2_04,D1,stimulated,B_like
demo_2_05,D2,control,B_like
demo_2_06,D3,stimulated,B_like
demo_2_07,D1,control,B_like
demo_2_08,D2,stimulated,B_like
demo_2_09,D3,control,B_like
demo_2_10,D1,stimulated,B_like
demo_2_11,D2,control,B_like
demo_2_12,D3,stimulated,B_like
demo_2_13,D1,control,B_like
demo_2_14,D2,stimulated,B_like
demo_2_15,D3,control,B_like
demo_2_16,D1,stimulated,B_like
demo_2_17,D2,control,B_like
demo_2_18,D3,stimulated,B_like
demo_2_19,D1,control,B_like
demo_2_20,D2,stimulated,B_like
demo_2_21,D3,control,B_like
demo_2_22,D1,stimulated,B_like
demo_2_23,D2,control,B_like
demo_2_24,D3,stimulated,B_like
demo_2_25,D1,control,B_like
demo_2_26,D2,stimulated,B_like
demo_2_27,D3,control,B_like
demo_2_28,D1,stimulated,B_like
demo_2_29,D2,control,B_like
demo_2_30,D3,stimulated,B_like
demo_3_01,D1,control,Mono_like
demo_3_02,D2,stimulated,Mono_like
demo_3_03,D3,control,Mono_like
demo_3_04,D1,stimulated,Mono_like
demo_3_05,D2,control,Mono_like
demo_3_06,D3,stimulated,Mono_like
demo_3_07,D1,control,Mono_like
demo_3_08,D2,stimulated,Mono_like
demo_3_09,D3,control,Mono_like
demo_3_10,D1,stimulated,Mono_like
demo_3_11,D2,control,Mono_like
demo_3_12,D3,stimulated,Mono_like
demo_3_13,D1,control,Mono_like
demo_3_14,D2,stimulated,Mono_like
demo_3_15,D3,control,Mono_like
demo_3_16,D1,stimulated,Mono_like
demo_3_17,D2,control,Mono_like
demo_3_18,D3,stimulated,Mono_like
demo_3_19,D1,control,Mono_like
demo_3_20,D2,stimulated,Mono_like
demo_3_21,D3,control,Mono_like
demo_3_22,D1,stimulated,Mono_like
demo_3_23,D2,control,Mono_like
demo_3_24,D3,stimulated,Mono_like
demo_3_25,D1,control,Mono_like
demo_3_26,D2,stimulated,Mono_like
demo_3_27,D3,control,Mono_like
demo_3_28,D1,stimulated,Mono_like
demo_3_29,D2,control,Mono_like
demo_3_30,D3,stimulated,Mono_like
