ENSGDEMO00001	CD3D	Gene Expression
ENSGDEMO00002	CD3E	Gene Expression
ENSGDEMO00003	TRAC	Gene Expression
ENSGDEMO00004	LCK	Gene Expression
ENSGDEMO00005	IL7R	Gene Expression
ENSGDEMO00006	LTB	Gene Expression
ENSGDEMO00007	MALAT1	Gene Expression
ENSGDEMO00008	B2M	Gene Expression
ENSGDEMO00009	MS4A1	Gene Expression
ENSGDEMO00010	CD79A	Gene Expression
ENSGDEMO00011	CD74	Gene Expression
ENSGDEMO00012	HLA-DRA	Gene Expression
ENSGDEMO00013	CD37	Gene Expression
ENSGDEMO00014	CD22	Gene Expression
ENSGDEMO00015	CD79B	Gene Expression
ENSGDEMO00016	CD83	Gene Expression
ENSGDEMO00017	LST1	Gene Expression
ENSGDEMO00018	S100A8	Gene Expression
ENSGDEMO00019	S100A9	Gene Expression
ENSGDEMO00020	FCN1	Gene Expression
ENSGDEMO00021	CTSS	Gene Expression
ENSGDEMO00022	TYMP	Gene Expression
ENSGDEMO00023	LGALS3	Gene Expression
ENSGDEMO00024	SAT1	Gene Expression
ENSGDEMO00025	ACTB	Gene Expression
ENSGDEMO00026	GAPDH	Gene Expression
ENSGDEMO00027	RPL3	Gene Expression
ENSGDEMO00028	RPL5	Gene Expression
ENSGDEMO00029	RPL7	Gene Expression
ENSGDEMO00030	RPL11	Gene Expression
ENSGDEMO00031	RPL13	Gene Expression
ENSGDEMO00032	RPL18	Gene Expression
ENSGDEMO00033	RPL23	Gene Expression
ENSGDEMO00034	RPL27	Gene Expression
ENSGDEMO00035	RPS3	Gene Expression
ENSGDEMO00036	RPS5	Gene Expression
ENSGDEMO00037	RPS8	Gene Expression
ENSGDEMO00038	RPS12	Gene Expression
ENSGDEMO00039	RPS14	Gene Expression
ENSGDEMO00040	RPS18	Gene Expression
ENSGDEMO00041	RPS24	Gene Expression
ENSGDEMO00042	EEF1A1	Gene Expression
ENSGDEMO00043	TMSB10	Gene Expression
ENSGDEMO00044	FTL	Gene Expression
ENSGDEMO00045	FTH1	Gene Expression
ENSGDEMO00046	UBC	Gene Expression
ENSGDEMO00047	HSP90AA1	Gene Expression
ENSGDEMO00048	HSPA8	Gene Expression
ENSGDEMO00049	VIM	Gene Expression
ENSGDEMO00050	PFN1	Gene Expression
ENSGDEMO00051	CFL1	Gene Expression
ENSGDEMO00052	LGALS1	Gene Expression
ENSGDEMO00053	YWHAZ	Gene Expression
ENSGDEMO00054	PPIA	Gene Expression
ENSGDEMO00055	MT-CO1	Gene Expression
ENSGDEMO00056	MT-ND1	Gene Expression
ENSGDEMO00057	MT-CYB	Gene Expression
